uce,start_pos,end_pos,length,snp_count
UCE0001,53756950,53757285,336,90
UCE0002,53929295,53929573,279,92
UCE0003,53957123,53957516,394,123
UCE0004,54020764,54020989,226,56
UCE0005,54056490,54056818,329,100
UCE0006,54093096,54093465,370,122
UCE0007,54093563,54093797,235,59
UCE0008,54101268,54101623,356,100
UCE0009,54127008,54127377,370,112
UCE0010,54144134,54144343,210,60
